pattern_id,pattern_type,description,frequency,dates,representative_peak_time,statistical_support
B003_peak_timing_000,recurring_peak_timing,Daily peak recurs near 01:30 on 4 of 20 complete days,4,"[datetime.date(2025, 6, 7), datetime.date(2025, 6, 13), datetime.date(2025, 6, 16), datetime.date(2025, 6, 17)]",01:30,0.2
B003_peak_timing_001,recurring_peak_timing,Daily peak recurs near 02:00 on 16 of 20 complete days,16,"[datetime.date(2025, 6, 2), datetime.date(2025, 6, 3), datetime.date(2025, 6, 4), datetime.date(2025, 6, 5), datetime.date(2025, 6, 6), datetime.date(2025, 6, 8), datetime.date(2025, 6, 9), datetime.date(2025, 6, 10), datetime.date(2025, 6, 11), datetime.date(2025, 6, 12), datetime.date(2025, 6, 14), datetime.date(2025, 6, 15), datetime.date(2025, 6, 18), datetime.date(2025, 6, 19), datetime.date(2025, 6, 20), datetime.date(2025, 6, 21)]",02:00,0.8
