pattern_id,pattern_type,description,frequency,dates,shape,statistical_support
B001_shape_000,recurring_shape,'afternoon_peak' shape recurs on 14 of 22 days,14,"[datetime.date(2025, 6, 2), datetime.date(2025, 6, 3), datetime.date(2025, 6, 4), datetime.date(2025, 6, 5), datetime.date(2025, 6, 9), datetime.date(2025, 6, 10), datetime.date(2025, 6, 11), datetime.date(2025, 6, 12), datetime.date(2025, 6, 13), datetime.date(2025, 6, 16), datetime.date(2025, 6, 17), datetime.date(2025, 6, 18), datetime.date(2025, 6, 19), datetime.date(2025, 6, 20)]",afternoon_peak,0.636
B001_shape_003,recurring_shape,'multi_peak' shape recurs on 6 of 22 days,6,"[datetime.date(2025, 6, 1), datetime.date(2025, 6, 7), datetime.date(2025, 6, 8), datetime.date(2025, 6, 14), datetime.date(2025, 6, 15), datetime.date(2025, 6, 21)]",multi_peak,0.273
