pattern_id,pattern_type,description,frequency,dates,representative_peak_time,statistical_support
B002_peak_timing_002,recurring_peak_timing,Daily peak recurs near 12:30 on 3 of 20 complete days,3,"[datetime.date(2025, 6, 9), datetime.date(2025, 6, 10), datetime.date(2025, 6, 20)]",12:30,0.15
B002_peak_timing_003,recurring_peak_timing,Daily peak recurs near 13:00 on 10 of 20 complete days,10,"[datetime.date(2025, 6, 2), datetime.date(2025, 6, 3), datetime.date(2025, 6, 4), datetime.date(2025, 6, 5), datetime.date(2025, 6, 11), datetime.date(2025, 6, 12), datetime.date(2025, 6, 13), datetime.date(2025, 6, 17), datetime.date(2025, 6, 18), datetime.date(2025, 6, 19)]",13:00,0.5
B002_peak_timing_005,recurring_peak_timing,Daily peak recurs near 14:30 on 3 of 20 complete days,3,"[datetime.date(2025, 6, 7), datetime.date(2025, 6, 8), datetime.date(2025, 6, 14)]",14:30,0.15
