event_id,entity_id,peak_definition,start_time,end_time,duration_hours,maximum_demand_kw,mean_demand_kw,minimum_demand_kw,n_intervals
Campus_A_threshold_500_0000,Campus_A,threshold_500,2025-06-02 08:15:00,2025-06-02 08:45:00,0.5,570.4,540.3666666666667,513.86,3
Campus_A_threshold_500_0001,Campus_A,threshold_500,2025-06-02 12:00:00,2025-06-02 13:45:00,1.75,535.14,519.1475,501.96000000000004,8
Campus_A_threshold_500_0002,Campus_A,threshold_500,2025-06-02 16:15:00,2025-06-02 17:30:00,1.25,641.18,597.0400000000001,528.47,6
Campus_A_threshold_500_0003,Campus_A,threshold_500,2025-06-03 08:15:00,2025-06-03 09:00:00,0.75,565.15,540.7774999999999,513.8299999999999,4
Campus_A_threshold_500_0004,Campus_A,threshold_500,2025-06-03 11:30:00,2025-06-03 14:45:00,3.25,621.0,563.6085714285713,504.20000000000005,14
Campus_A_threshold_500_0005,Campus_A,threshold_500,2025-06-03 15:45:00,2025-06-03 17:45:00,2.0,701.97,602.1033333333332,506.93,9
Campus_A_threshold_500_0006,Campus_A,threshold_500,2025-06-04 08:15:00,2025-06-04 09:00:00,0.75,580.31,556.0375,531.05,4
Campus_A_threshold_500_0007,Campus_A,threshold_500,2025-06-04 11:30:00,2025-06-04 14:30:00,3.0,619.22,575.553076923077,507.85,13
Campus_A_threshold_500_0008,Campus_A,threshold_500,2025-06-04 15:45:00,2025-06-04 17:45:00,2.0,708.1600000000001,608.6611111111112,510.5,9
Campus_A_threshold_500_0009,Campus_A,threshold_500,2025-06-05 08:15:00,2025-06-05 08:45:00,0.5,547.1,532.68,514.58,3
Campus_A_threshold_500_0010,Campus_A,threshold_500,2025-06-05 13:00:00,2025-06-05 13:00:00,0.0,512.33,512.33,512.33,1
Campus_A_threshold_500_0011,Campus_A,threshold_500,2025-06-05 16:15:00,2025-06-05 17:30:00,1.25,646.98,596.9566666666666,518.25,6
Campus_A_threshold_500_0012,Campus_A,threshold_500,2025-06-06 08:15:00,2025-06-06 08:45:00,0.5,536.85,534.5866666666667,532.1800000000001,3
Campus_A_threshold_500_0013,Campus_A,threshold_500,2025-06-06 12:30:00,2025-06-06 13:30:00,1.0,530.9300000000001,523.6022666666665,517.77,5
Campus_A_threshold_500_0014,Campus_A,threshold_500,2025-06-09 08:15:00,2025-06-09 08:45:00,0.5,552.67,536.5233333333332,515.91,3
Campus_A_threshold_500_0015,Campus_A,threshold_500,2025-06-09 11:45:00,2025-06-09 14:30:00,2.75,594.0,549.7733333333333,504.32000000000005,12
Campus_A_threshold_500_0016,Campus_A,threshold_500,2025-06-09 16:00:00,2025-06-09 17:30:00,1.5,648.26,591.5657142857143,515.54,7
Campus_A_threshold_500_0017,Campus_A,threshold_500,2025-06-10 08:15:00,2025-06-10 08:45:00,0.5,561.1700000000001,533.5866666666667,500.90999999999997,3
Campus_A_threshold_500_0018,Campus_A,threshold_500,2025-06-10 12:00:00,2025-06-10 14:00:00,2.0,551.05,525.9977777777779,503.46000000000004,9
Campus_A_threshold_500_0019,Campus_A,threshold_500,2025-06-10 16:30:00,2025-06-10 17:45:00,1.25,656.99,591.7816666666666,508.56,6
Campus_A_threshold_500_0020,Campus_A,threshold_500,2025-06-11 00:00:00,2025-06-11 23:45:00,23.75,1088.22,774.5022916666667,635.65,96
Campus_A_threshold_500_0021,Campus_A,threshold_500,2025-06-12 08:15:00,2025-06-12 08:45:00,0.5,577.62,556.8833333333333,540.0,3
Campus_A_threshold_500_0022,Campus_A,threshold_500,2025-06-12 11:30:00,2025-06-12 14:30:00,3.0,609.49,572.05,504.82000000000005,13
Campus_A_threshold_500_0023,Campus_A,threshold_500,2025-06-12 16:00:00,2025-06-12 17:45:00,1.75,683.5999999999999,611.6225,515.6,8
Campus_A_threshold_500_0024,Campus_A,threshold_500,2025-06-13 08:15:00,2025-06-13 08:45:00,0.5,539.12,525.5466666666667,514.3,3
Campus_A_threshold_500_0025,Campus_A,threshold_500,2025-06-13 11:45:00,2025-06-13 14:15:00,2.5,581.9200000000001,557.3527272727274,518.84,11
Campus_A_threshold_500_0026,Campus_A,threshold_500,2025-06-13 16:00:00,2025-06-13 17:30:00,1.5,664.78,603.5042857142856,502.98,7
Campus_A_threshold_500_0027,Campus_A,threshold_500,2025-06-16 08:15:00,2025-06-16 08:45:00,0.5,555.02,527.8433333333334,513.3100000000001,3
Campus_A_threshold_500_0028,Campus_A,threshold_500,2025-06-16 12:00:00,2025-06-16 14:00:00,2.0,543.35,524.3977777777777,500.46000000000004,9
Campus_A_threshold_500_0029,Campus_A,threshold_500,2025-06-16 16:15:00,2025-06-16 17:45:00,1.5,628.99,584.4957142857143,506.67999999999995,7
Campus_A_threshold_500_0030,Campus_A,threshold_500,2025-06-17 08:15:00,2025-06-17 08:45:00,0.5,533.89,532.3333333333334,529.3000000000001,3
Campus_A_threshold_500_0031,Campus_A,threshold_500,2025-06-17 11:30:00,2025-06-17 14:15:00,2.75,600.77,560.1125000000001,503.44,12
Campus_A_threshold_500_0032,Campus_A,threshold_500,2025-06-17 16:00:00,2025-06-17 17:45:00,1.75,663.75,598.76125,507.09000000000003,8
Campus_A_threshold_500_0033,Campus_A,threshold_500,2025-06-18 08:15:00,2025-06-18 08:45:00,0.5,546.03,534.5333333333333,527.88,3
Campus_A_threshold_500_0034,Campus_A,threshold_500,2025-06-18 12:15:00,2025-06-18 14:00:00,1.75,558.01,527.255,501.95,8
Campus_A_threshold_500_0035,Campus_A,threshold_500,2025-06-18 16:15:00,2025-06-18 17:45:00,1.5,646.44,579.6628571428571,510.45,7
Campus_A_threshold_500_0036,Campus_A,threshold_500,2025-06-19 08:15:00,2025-06-19 09:00:00,0.75,555.54,535.5775,509.8,4
Campus_A_threshold_500_0037,Campus_A,threshold_500,2025-06-19 11:45:00,2025-06-19 14:30:00,2.75,616.74,578.2,523.95,12
Campus_A_threshold_500_0038,Campus_A,threshold_500,2025-06-19 16:00:00,2025-06-19 17:45:00,1.75,692.0699999999999,619.09625,518.24,8
Campus_A_threshold_500_0039,Campus_A,threshold_500,2025-06-20 08:15:00,2025-06-20 08:45:00,0.5,569.9499999999999,538.6633333333333,509.8,3
Campus_A_threshold_500_0040,Campus_A,threshold_500,2025-06-20 12:00:00,2025-06-20 14:15:00,2.25,583.82,544.446,510.97,10
